,건축물명,면적,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
581,살구화장실,42.29,경기도 수원시 영통구 매영로 366,경기도 수원시 영통구 영통동 989-3,37.2492538147,127.0727125052
582,장애인재활자립작업장(팩토리월드 내),524.8,경기도 수원시 영통구 삼성로 274,경기도 수원시 영통구 원천동 332-2수원팩토리월드 201호,37.2655925945,127.0643194229
583,세류3동 분회경로당,185.43,경기도 수원시 권선구 정조로588번길 18-9,경기도 수원시 권선구 세류동 152-14,37.2606752904,127.0144561123
584,세류3동 미화원 막사,64,경기도 수원시 권선구 권선로 592-6,경기도 수원시 권선구 세류동 155-13,37.2618264034,127.0160050393
585,권선구청 방치차량 보관소,71,경기도 수원시 권선구 덕영대로 1030,경기도 수원시 권선구 세류동 204-15,37.257061205,127.0058637256
586,방치차량보관소,3349,경기도 수원시 권선구 덕영대로 1030,경기도 수원시 권선구 세류동 204-15,37.257061205,127.0058637256
587,세류1동 분회경로당,198.91,경기도 수원시 권선구 세류로38번길 13-8,경기도 수원시 권선구 세류동 222-3,37.2626171121,127.0088273162
588,세류1동 행정복지센터(별관),901.73,경기도 수원시 권선구 세류로38번길 10,경기도 수원시 권선구 세류동 223-2,37.2621899095,127.0079729847
589,가는골경로당,254.16,경기도 수원시 권선구 덕영대로997번길 61,경기도 수원시 권선구 세류동 256-27,37.2585633071,127.007252282
590,통미경로당,60.77,경기도 수원시 권선구 덕영대로1049번길 18-6,경기도 수원시 권선구 세류동 450-2,37.2569539331,127.0082438576
591,세류3동 행정복지센터,1495.22,,경기도 수원시 권선구 세류동 476-11,37.2590515435,127.0119629877
592,시립세류어린이집,936.16,,경기도 수원시 권선구 세류동 476-11,37.2590515435,127.0119629877
593,버드내도서관,4000.44,경기도 수원시 권선구 세권로94번길 29,경기도 수원시 권선구 세류동 503-2,37.2568186703,127.0147853432
594,신성경로당,115.47,경기도 수원시 권선구 세권로 89-10,경기도 수원시 권선구 세류동 519-1,37.2585481937,127.0145035975
595,현대경로당,198.11,경기도 수원시 권선구 정조로485번길 13-1,경기도 수원시 권선구 세류동 569-13,37.2522677874,127.0106874294
596,새터경로당,246.24,경기도 수원시 권선구 새터로29번길 19-1,경기도 수원시 권선구 세류동 666-4,37.2528036429,127.0073123479
597,세류2동 행정복지센터,1456.59,경기도 수원시 권선구 덕영대로 1107,경기도 수원시 권선구 세류동 980-1,37.253377362,127.0130821255
598,가림리경로당,112.06,경기도 수원시 권선구 매송고색로503번길 89,경기도 수원시 권선구 오목천동 1145,37.2465779759,126.9564897008
599,온정마을경로당,161,,경기도 수원시 권선구 오목천동 36-5,37.2512080568,126.9651224099
600,농업기술센터청사 환기시설,80,경기도 수원시 권선구 온정로 45,경기도 수원시 권선구 오목천동 40,37.2501147879,126.9631508961
